point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江省方言志
HZ01,湖州市区,太湖片-苕溪小片,,,歌,Ø,荷,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,Ø,河,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,Ø,何,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,Ø,荷,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,Ø,贺,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,Ø,阿,u,～胶,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,Ø,屙,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,茄,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,P,波,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,P,菠,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,P,跛,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,P,簸,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,P,簸,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,P,播,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,P,颇,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,P,坡,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,P,玻,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,P,破,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,P,婆,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,P,薄,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,M,魔,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,M,磨,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,M,摩,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,M,馍,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,M,蘑,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,M,磨,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,T,朵,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,T,躲,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,T,剁,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,T,妥,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,T,椭,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,T,唾,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,T,砣,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,T,惰,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,T,垛,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,T,堕,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,N,挼,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,N,糯,əu,文读,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,N,懦,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,L,骡,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,L,螺,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,L,脶,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,L,啰,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,L,裸,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,L,瘰,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,L,摞,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,TS,锉,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,TS,莝,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,TS,矬,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,TS,坐,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,TS,座,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,TS,蓑,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,TS,梭,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,TS,唆,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,TS,莎,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,TS,锁,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,TS,琐,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,TS,唢,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,过,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,锅,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,戈,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,果,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,裹,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,餜,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,过,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,科,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,窠,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,棵,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,髁,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,蝌,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,颗,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,课,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,讹,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,K,卧,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,火,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,伙,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,货,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,和,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,禾,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,祸,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,夥,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,和,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,倭,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,踒,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,窝,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,涡,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,莴,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,涴,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,瘸,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,靴,,,
HZ01,湖州市区,太湖片-苕溪小片,,,戈,Ø,�,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,巴,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,芭,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,疤,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,笆,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,吧,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,把,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,靶,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,霸,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,欛,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,壩,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,坝,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,爸,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,怕,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,帕,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,爬,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,琶,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,杷,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,钯,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,P,耙,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,M,麻,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,M,痲,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,M,蟆,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,M,妈,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,M,马,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,M,码,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,M,玛,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,M,蚂,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,M,骂,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,N,拿,a/ɷ,文读/～来,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS,茶,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS,搽,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS,䖳,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,楂,a/ɷ,文读/白读,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,渣,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,诈,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,榨,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,炸,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,叉,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,杈,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,差,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,岔,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,差,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,茬,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,查,ɷ,白读,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,乍,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,沙,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,纱,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,痧,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,砂,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,鲨,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,裟,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,洒,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,TS*,厦,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,家,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,傢,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,加,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,痂,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,嘉,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,枷,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,袈,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,假,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,贾,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,假,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,架,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,驾,ia,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,嫁,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,稼,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,价,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,揢,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,牙,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,芽,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,衙,a,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,伢,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,蚜,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,雅,ia,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,K,砑,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,虾,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,�,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,嚇,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,霞,ia,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,瑕,ia,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,遐,ia,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,蝦,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,下,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,夏,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,厦,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,下,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,夏,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,暇,,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,鸦,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,丫,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,桠,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,哑,ɷ,,
HZ01,湖州市区,太湖片-苕溪小片,,,麻,Ø,亚,ia,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,补,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,谱,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,哺,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,布,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,佈,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,铺,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,潽,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,普,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,浦,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,铺,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,怖,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,蒲,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,菩,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,脯,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,葡,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,莆,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,部,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,簿,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,篰,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,步,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,捕,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,P,埠,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,M,模,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,M,模,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,M,摹,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,M,姥,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,M,暮,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,M,慕,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,M,墓,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,M,募,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,M,睦,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,都,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,都,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,赌,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,堵,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,肚,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,睹,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,妒,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,土,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,吐,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,吐,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,兔,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,徒,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,屠,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,途,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,涂,ɷ/əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,图,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,杜,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,肚,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,度,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,渡,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,T,镀,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,N,奴,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,N,努,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,N,怒,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,卢,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,炉,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,芦,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,鸬,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,颅,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,鲈,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,鲁,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,橹,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,虏,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,卤,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,路,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,赂,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,露,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,L,鹭,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,租,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,祖,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,组,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,做,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,粗,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,醋,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,措,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,错,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,苏,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,酥,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,素,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,诉,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,塑,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,TS,嗉,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,姑,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,孤,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,箍,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,辜,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,菇,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,鸪,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,蛄,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,古,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,估,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,盬,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,牯,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,股,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,鼓,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,蛊,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,故,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,固,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,锢,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,雇,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,顾,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,枯,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,苦,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,库,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,裤,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,吴,u/əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,蜈,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,吾,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,梧,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,五,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,伍,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,午,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,忤,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,误,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,K,悟,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,呼,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,虎,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,浒,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,琥,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,戽,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,胡,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,湖,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,狐,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,壶,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,乎,u,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,瓠,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,鬍,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,糊,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,蝴,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,瑚,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,户,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,沪,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,互,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,护,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,瓠,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,糊,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,乌,w,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,污,w,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,坞,,,
HZ01,湖州市区,太湖片-苕溪小片,,,模,Ø,恶,,,
HZ01,湖州市区,太湖片-苕溪小片,,,豪,P,褒,ɔ,,
HZ01,湖州市区,太湖片-苕溪小片,,,豪,P,保,ɔ,,
HZ01,湖州市区,太湖片-苕溪小片,,,豪,P,堡,ɔ,,
HZ01,湖州市区,太湖片-苕溪小片,,,豪,P,宝,ɔ,,
HZ01,湖州市区,太湖片-苕溪小片,,,豪,P,报,ɔ,,
HZ01,湖州市区,太湖片-苕溪小片,,,豪,P,袍,ɔ,,
HZ01,湖州市区,太湖片-苕溪小片,,,豪,P,抱,ɔ,,
HZ01,湖州市区,太湖片-苕溪小片,,,豪,P,暴,ɔ,,
