point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,杜进 2016
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,TS,娑,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,K,歌,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,K,哥,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,K,柯,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,K,个,əʔ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,K,轲,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,K,可,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,K,蛾,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,K,鹅,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,K,俄,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,K,娥,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,K,我,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,K,饿,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,Ø,荷,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,Ø,河,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,Ø,何,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,Ø,荷,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,Ø,贺,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,Ø,阿,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,Ø,屙,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,茄,,{茄子}落苏,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,P,波,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,P,菠,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,P,跛,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,P,簸,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,P,簸,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,P,播,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,P,颇,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,P,坡,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,P,玻,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,P,破,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,P,婆,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,P,薄,əʔ,～荷,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,M,魔,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,M,磨,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,M,摩,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,M,馍,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,M,蘑,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,M,磨,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,T,朵,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,T,躲,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,T,剁,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,T,妥,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,T,椭,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,T,唾,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,T,砣,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,T,惰,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,T,垛,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,T,堕,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,N,挼,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,N,糯,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,N,懦,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,L,骡,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,L,螺,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,L,脶,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,L,啰,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,L,裸,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,L,瘰,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,L,摞,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,TS,锉,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,TS,莝,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,TS,矬,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,TS,坐,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,TS,座,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,TS,蓑,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,TS,梭,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,TS,唆,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,TS,莎,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,TS,锁,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,TS,琐,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,TS,唢,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,过,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,锅,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,戈,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,果,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,裹,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,餜,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,过,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,科,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,窠,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,棵,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,髁,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,蝌,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,颗,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,课,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,讹,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,K,卧,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,火,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,伙,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,货,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,和,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,禾,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,祸,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,夥,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,和,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,倭,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,踒,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,窝,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,涡,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,莴,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,涴,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,瘸,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,靴,uɤɪ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,戈,Ø,�,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,巴,ɑ,～结,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,芭,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,疤,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,笆,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,吧,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,把,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,靶,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,霸,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,欛,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,壩,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,坝,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,爸,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,怕,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,帕,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,爬,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,琶,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,杷,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,钯,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,P,耙,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,M,麻,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,M,痲,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,M,蟆,ɑ,蛤蟆,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,M,妈,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,M,马,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,M,码,ɑ,～子,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,M,玛,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,M,蚂,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,M,骂,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,N,拿,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS,茶,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS,搽,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS,䖳,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,楂,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,渣,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,诈,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,榨,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,炸,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,叉,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,杈,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,差,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,岔,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,差,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,茬,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,查,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,乍,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,沙,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,纱,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,痧,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,砂,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,鲨,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,裟,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,洒,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,TS*,厦,iɑ,～门,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,家,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,傢,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,加,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,痂,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,嘉,iɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,枷,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,袈,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,假,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,贾,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,假,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,架,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,驾,iɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,嫁,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,稼,iɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,价,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,揢,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,牙,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,芽,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,衙,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,伢,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,蚜,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,雅,iɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,K,砑,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,虾,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,�,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,嚇,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,霞,iɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,瑕,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,遐,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,蝦,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,下,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,夏,ɑ/iɑ,/姓,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,厦,iɑ,～门,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,下,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,夏,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,暇,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,鸦,iɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,丫,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,桠,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,哑,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,麻,Ø,亚,iɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,补,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,谱,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,哺,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,布,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,佈,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,铺,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,潽,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,普,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,浦,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,铺,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,怖,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,蒲,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,菩,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,脯,u,杏～,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,葡,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,莆,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,部,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,簿,u,阎王～子,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,篰,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,步,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,捕,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,P,埠,u,商～,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,M,模,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,M,模,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,M,摹,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,M,姥,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,M,暮,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,M,慕,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,M,墓,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,M,募,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,M,睦,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,都,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,都,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,赌,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,堵,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,肚,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,睹,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,妒,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,土,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,吐,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,吐,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,兔,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,徒,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,屠,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,途,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,涂,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,图,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,杜,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,肚,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,度,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,渡,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,T,镀,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,N,奴,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,N,努,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,N,怒,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,卢,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,炉,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,芦,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,鸬,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,颅,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,鲈,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,鲁,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,橹,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,虏,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,卤,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,路,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,赂,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,露,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,L,鹭,u,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,租,ʮ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,祖,ʮ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,组,ʮ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,做,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,粗,ʮ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,醋,ʮ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,措,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,错,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,苏,ʮ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,酥,ʮ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,素,ʮ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,诉,ʮ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,塑,ʮ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,模,TS,嗉,ʮ,鸟～子,
