point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,张惠英2009
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,M,魔,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,M,磨,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,M,摩,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,M,馍,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,M,磨,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,T,朵,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,T,躲,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,T,剁,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,T,妥,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,T,椭,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,T,唾,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,T,砣,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,T,惰,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,T,垛,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,T,堕,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,N,挼,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,N,糯,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,N,懦,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,L,骡,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,L,螺,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,L,脶,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,L,啰,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,L,裸,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,L,摞,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,TS,锉,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,TS,坐,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,TS,座,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,TS,蓑,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,TS,梭,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,TS,唆,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,TS,莎,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,TS,锁,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,TS,琐,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,TS,唢,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,过,u,超～、～年,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,锅,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,戈,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,果,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,裹,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,餜,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,过,u,超～、～年,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,科,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,窠,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,棵,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,髁,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,蝌,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,颗,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,课,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,讹,u/o/uo,以讹传讹/讹赖,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,卧,ŋ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,火,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,伙,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,货,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,禾,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,祸,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,倭,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,窝,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,涡,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,莴,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,涴,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,瘸,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,靴,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,巴,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,芭,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,疤,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,笆,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,吧,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,把,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,靶,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,霸,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,欛,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,壩,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,坝,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,爸,ɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,怕,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,帕,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,爬,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,琶,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,杷,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,钯,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,P,耙,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,M,麻,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,M,痲,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,M,蟆,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,M,妈,ɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,M,马,o,～上,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,M,码,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,M,玛,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,M,蚂,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,M,骂,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,N,拿,æ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS,茶,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS,搽,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,楂,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,渣,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,诈,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,榨,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,炸,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,叉,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,杈,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,差,o,～别,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,岔,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,差,o,～别,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,查,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,乍,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,沙,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,纱,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,痧,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,砂,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,鲨,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,裟,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,洒,ɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,TS*,厦,o,～门,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,家,ɑ,白读,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,傢,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,加,ɑ,白读,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,痂,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,嘉,ɑ,～定,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,枷,ɑ,白读,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,袈,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,假,ɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,贾,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,假,ɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,架,ɑ,白读,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,驾,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,嫁,ɑ,白读,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,稼,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,价,ɑ,白读,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,揢,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,牙,ɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,芽,ɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,衙,ɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,伢,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,蚜,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,雅,iɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,K,砑,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,虾,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,�,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,霞,iɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,瑕,iɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,遐,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,下,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,厦,o,～门,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,下,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,暇,iɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,鸦,uo,白读老～,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,丫,uo,白读～头,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,桠,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,哑,o,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,麻,Ø,亚,iɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,补,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,谱,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,哺,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,布,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,佈,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,铺,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,潽,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,普,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,浦,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,铺,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,怖,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,蒲,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,菩,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,脯,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,葡,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,莆,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,部,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,簿,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,篰,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,步,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,捕,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,P,埠,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,M,模,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,M,模,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,M,摹,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,M,姥,ɔ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,M,暮,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,M,慕,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,M,墓,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,M,募,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,M,睦,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,都,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,都,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,赌,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,堵,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,肚,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,睹,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,妒,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,土,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,吐,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,吐,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,兔,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,徒,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,屠,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,途,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,涂,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,图,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,杜,u,～想,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,肚,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,度,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,渡,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,T,镀,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,N,奴,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,N,努,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,N,怒,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,卢,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,炉,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,芦,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,鸬,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,颅,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,鲈,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,鲁,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,橹,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,虏,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,卤,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,路,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,赂,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,露,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,L,鹭,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,租,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,祖,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,组,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,做,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,粗,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,醋,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,措,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,错,u,～误,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,苏,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,酥,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,素,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,诉,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,塑,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,TS,嗉,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,姑,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,孤,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,箍,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,辜,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,菇,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,鸪,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,蛄,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,古,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,估,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,盬,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,牯,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,股,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,鼓,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,蛊,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,故,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,固,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,锢,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,雇,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,顾,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,枯,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,苦,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,库,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,裤,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,吴,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,蜈,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,吾,ŋ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,梧,ŋ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,五,u,文读,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,伍,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,午,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,忤,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,误,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,K,悟,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,呼,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,虎,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,浒,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,琥,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,戽,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,胡,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,湖,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,狐,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,壶,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,乎,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,瓠,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,鬍,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,糊,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,蝴,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,模,Ø,瑚,,,
