point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,川沙方言同音字表
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,餜,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,过,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,科,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,窠,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,棵,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,髁,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,蝌,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,颗,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,课,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,讹,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,卧,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,火,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,伙,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,货,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,禾,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,祸,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,倭,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,窝,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,涡,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,莴,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,涴,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,瘸,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,靴,iu,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,巴,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,芭,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,疤,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,笆,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,吧,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,把,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,靶,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,霸,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,欛,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,壩,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,坝,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,爸,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,怕,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,帕,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,爬,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,琶,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,杷,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,钯,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,P,耙,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,M,麻,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,M,痲,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,M,蟆,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,M,妈,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,M,马,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,M,码,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,M,玛,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,M,蚂,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,M,骂,o,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,N,拿,ɔ/ɛ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS,茶,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS,搽,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,楂,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,渣,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,诈,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,榨,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,炸,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,叉,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,杈,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,差,iɔ,～勿多,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,岔,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,差,iɔ,～勿多,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,查,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,乍,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,沙,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,纱,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,痧,iɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,砂,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,鲨,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,裟,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,洒,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,TS*,厦,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,家,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,傢,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,加,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,痂,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,嘉,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,枷,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,袈,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,假,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,贾,ᴀ,姓,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,假,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,架,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,驾,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,嫁,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,稼,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,价,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,揢,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,牙,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,芽,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,衙,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,伢,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,蚜,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,雅,iᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,K,砑,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,虾,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,�,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,霞,iᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,瑕,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,遐,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,下,ɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,夏,ɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,厦,ɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,下,ɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,夏,ɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,暇,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,鸦,iᴀ/ɔ,文读/白读,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,丫,ɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,桠,ɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,哑,ɔ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,麻,Ø,亚,iᴀ/o/ɔ,文读/白读/旧读～细～火油,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,补,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,谱,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,哺,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,布,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,佈,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,铺,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,潽,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,普,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,浦,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,铺,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,怖,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,蒲,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,菩,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,脯,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,葡,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,莆,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,部,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,簿,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,篰,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,步,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,捕,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,P,埠,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,M,模,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,M,模,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,M,摹,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,M,姥,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,M,暮,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,M,慕,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,M,墓,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,M,募,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,M,睦,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,都,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,都,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,赌,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,堵,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,肚,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,睹,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,妒,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,土,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,吐,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,吐,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,兔,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,徒,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,屠,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,途,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,涂,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,图,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,杜,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,肚,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,度,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,渡,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,T,镀,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,N,奴,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,N,努,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,N,怒,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,卢,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,炉,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,芦,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,鸬,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,颅,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,鲈,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,鲁,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,橹,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,虏,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,卤,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,路,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,赂,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,露,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,L,鹭,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,租,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,祖,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,组,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,做,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,粗,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,醋,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,措,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,错,u/iɔ,～脱钞票/～误,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,苏,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,酥,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,素,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,诉,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,塑,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,TS,嗉,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,姑,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,孤,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,箍,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,辜,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,菇,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,鸪,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,蛄,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,古,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,估,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,盬,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,牯,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,股,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,鼓,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,蛊,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,故,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,固,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,锢,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,雇,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,顾,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,枯,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,苦,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,库,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,裤,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,吴,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,蜈,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,吾,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,梧,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,五,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,伍,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,午,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,忤,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,误,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,K,悟,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,Ø,呼,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,Ø,虎,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,Ø,浒,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,Ø,琥,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,Ø,戽,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,模,Ø,胡,u,,
